Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;00:00:00;4.216;0.418;234.840;18.400;0.000;1.000;17.000
16/12/2006;00:01:00;5.360;0.436;233.630;23.000;0.000;1.000;16.000
16/12/2006;00:02:00;5.374;0.498;233.290;23.000;0.000;1.000;17.000
16/12/2006;00:03:00;5.388;0.502;233.740;23.000;0.000;1.000;17.000
16/12/2006;00:04:00;3.666;0.528;235.680;15.800;0.000;1.000;17.000
16/12/2006;00:05:00;3.520;0.522;235.020;15.000;0.000;2.000;17.000
16/12/2006;00:06:00;3.702;0.520;235.090;15.800;0.000;1.000;17.000
16/12/2006;00:07:00;3.700;0.520;235.220;15.800;0.000;1.000;17.000
16/12/2006;00:08:00;3.668;0.510;233.990;15.800;0.000;1.000;17.000
16/12/2006;00:09:00;3.662;0.510;233.860;15.800;0.000;2.000;16.000
16/12/2006;00:10:00;4.448;0.498;232.860;19.600;0.000;1.000;17.000
16/12/2006;00:11:00;5.412;0.470;232.780;23.200;0.000;1.000;17.000
16/12/2006;00:12:00;5.224;0.478;232.990;22.400;0.000;1.000;16.000
16/12/2006;00:13:00;5.268;0.398;233.290;22.800;0.000;1.000;17.000
16/12/2006;00:14:00;4.054;0.422;235.310;17.200;0.000;1.000;17.000
16/12/2006;00:15:00;3.384;0.282;237.540;14.200;0.000;1.000;17.000
16/12/2006;00:16:00;3.270;0.152;236.730;13.800;0.000;1.000;17.000
16/12/2006;00:17:00;3.106;0.066;235.540;13.200;0.000;1.000;16.000
16/12/2006;00:18:00;3.144;0.080;235.090;13.400;0.000;1.000;17.000
16/12/2006;00:19:00;3.136;0.076;234.950;13.400;0.000;1.000;17.000
16/12/2006;00:20:00;3.528;0.472;233.840;15.000;0.000;1.000;17.000
16/12/2006;00:21:00;4.534;0.528;233.630;19.600;0.000;1.000;17.000
16/12/2006;00:22:00;4.538;0.522;233.290;19.600;0.000;1.000;17.000
16/12/2006;00:23:00;4.240;0.510;233.990;18.400;0.000;1.000;17.000
16/12/2006;00:24:00;3.666;0.528;235.680;15.800;0.000;1.000;17.000
16/12/2006;00:25:00;3.520;0.522;235.020;15.000;0.000;2.000;17.000
16/12/2006;00:26:00;3.702;0.520;235.090;15.800;0.000;1.000;17.000
16/12/2006;00:27:00;3.700;0.520;235.220;15.800;0.000;1.000;17.000
16/12/2006;00:28:00;3.668;0.510;233.990;15.800;0.000;1.000;17.000
16/12/2006;00:29:00;3.662;0.510;233.860;15.800;0.000;2.000;16.000
16/12/2006;00:30:00;3.250;0.160;237.330;13.800;0.000;0.000;17.000
16/12/2006;00:31:00;0.320;0.000;240.860;1.400;0.000;0.000;0.000
16/12/2006;00:32:00;1.014;0.000;241.650;4.400;0.000;0.000;0.000
16/12/2006;00:33:00;1.014;0.000;241.440;4.400;0.000;0.000;0.000
16/12/2006;00:34:00;1.014;0.000;241.260;4.400;0.000;0.000;0.000
16/12/2006;00:35:00;1.010;0.000;241.540;4.400;0.000;0.000;0.000
16/12/2006;00:36:00;1.012;0.000;241.400;4.400;0.000;0.000;0.000
16/12/2006;00:37:00;1.012;0.000;241.260;4.400;0.000;0.000;0.000
16/12/2006;00:38:00;0.318;0.000;241.680;1.400;0.000;0.000;0.000
16/12/2006;00:39:00;0.320;0.000;241.260;1.400;0.000;0.000;0.000
16/12/2006;00:40:00;0.320;0.000;241.470;1.400;0.000;0.000;0.000
16/12/2006;00:41:00;1.014;0.000;241.260;4.400;0.000;0.000;0.000
16/12/2006;00:42:00;1.016;0.000;241.050;4.400;0.000;0.000;0.000
16/12/2006;00:43:00;1.016;0.000;241.260;4.400;0.000;0.000;0.000
16/12/2006;00:44:00;1.014;0.000;241.050;4.400;0.000;0.000;0.000
16/12/2006;00:45:00;1.014;0.000;241.050;4.400;0.000;0.000;0.000
16/12/2006;00:46:00;1.014;0.000;241.190;4.400;0.000;0.000;0.000
16/12/2006;00:47:00;1.012;0.000;241.050;4.400;0.000;0.000;0.000
16/12/2006;00:48:00;1.014;0.000;241.050;4.400;0.000;0.000;0.000
16/12/2006;00:49:00;1.012;0.000;241.050;4.400;0.000;0.000;0.000
16/12/2006;00:50:00;1.254;0.000;240.790;5.400;0.000;0.000;0.000
16/12/2006;00:51:00;2.950;0.000;240.930;12.400;0.000;0.000;0.000
16/12/2006;00:52:00;2.950;0.000;240.860;12.400;0.000;0.000;0.000
16/12/2006;00:53:00;2.948;0.000;240.860;12.400;0.000;0.000;0.000
16/12/2006;00:54:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;00:55:00;2.948;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;00:56:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;00:57:00;2.950;0.000;240.790;12.400;0.000;0.000;0.000
